dev_addr,time,m_hdr_type,f_cnt,f_port,bandwidth,sf,coding_rate,frequency,rssi,channel_rssi,snr,inter_arrival_time_ms
260C96BF,2022-03-15T20:20:23.907446839Z,CONFIRMED_UP,379,1,125000,7,4/5,903900000,-67,-67,8.75,10071.323861002922
260C96BF,2022-03-15T20:20:34.002182492Z,CONFIRMED_UP,380,1,125000,7,4/5,903900000,-69,-69,10,10094.73565299809
260C96BF,2022-03-15T20:20:44.053951121Z,CONFIRMED_UP,381,1,125000,7,4/5,903900000,-69,-69,9.75,10051.76862899959
260C96BF,2022-03-15T20:20:54.120968675Z,CONFIRMED_UP,382,1,125000,7,4/5,903900000,-67,-67,9.75,10067.01755400002
260C96BF,2022-03-15T20:21:04.191150046Z,CONFIRMED_UP,383,1,125000,7,4/5,903900000,-69,-69,9.75,10070.18137100339
260C96BF,2022-03-15T20:21:14.266350015Z,CONFIRMED_UP,384,1,125000,7,4/5,903900000,-69,-69,9.25,10075.199968993664
260C96BF,2022-03-15T20:21:24.328279072Z,CONFIRMED_UP,385,1,125000,7,4/5,903900000,-69,-69,9,10061.929057002068
260C96BF,2022-03-15T20:21:34.401932431Z,CONFIRMED_UP,386,1,125000,7,4/5,903900000,-69,-69,9.25,10073.653358995914
260C96BF,2022-03-15T20:21:44.479094704Z,CONFIRMED_UP,387,1,125000,7,4/5,903900000,-69,-69,9.75,10077.162273004651
260C96BF,2022-03-15T20:21:54.513018034Z,CONFIRMED_UP,388,1,125000,7,4/5,903900000,-67,-67,8.25,10033.923329994082
260C96BF,2022-03-15T20:22:04.558428592Z,CONFIRMED_UP,389,1,125000,7,4/5,903900000,-69,-69,10.25,10045.410558000207
260C96BF,2022-03-15T20:22:14.626742055Z,CONFIRMED_UP,390,1,125000,7,4/5,903900000,-69,-69,9,10068.313463002443
260C96BF,2022-03-15T20:22:24.695918335Z,CONFIRMED_UP,391,1,125000,7,4/5,903900000,-69,-69,9.25,10069.176280006766
260C96BF,2022-03-15T20:22:34.769844277Z,CONFIRMED_UP,392,1,125000,7,4/5,903900000,-69,-69,8.25,10073.925941988826
260C96BF,2022-03-15T20:22:44.832005734Z,CONFIRMED_UP,393,1,125000,7,4/5,903900000,-69,-69,9.25,10062.161457002163
260C96BF,2022-03-15T20:22:54.909736247Z,CONFIRMED_UP,394,1,125000,7,4/5,903900000,-67,-67,8.5,10077.730513006449
260C96BF,2022-03-15T20:23:04.971124333Z,CONFIRMED_UP,395,1,125000,7,4/5,903900000,-69,-69,10.75,10061.388085991144
260C96BF,2022-03-15T20:23:15.040174673Z,CONFIRMED_UP,396,1,125000,7,4/5,903900000,-69,-69,10.5,10069.050340011716
260C96BF,2022-03-15T20:23:25.114659769Z,CONFIRMED_UP,397,1,125000,7,4/5,903900000,-69,-69,8.75,10074.485095992684
260C96BF,2022-03-15T20:23:35.183273023Z,CONFIRMED_UP,398,1,125000,7,4/5,903900000,-69,-69,9,10068.613253995776
260C96BF,2022-03-15T20:23:45.242698949Z,CONFIRMED_UP,399,1,125000,7,4/5,903900000,-69,-69,8.25,10059.42592599988
260C96BF,2022-03-15T20:23:55.312949162Z,CONFIRMED_UP,400,1,125000,7,4/5,903900000,-69,-69,9.75,10070.2502130121
260C96BF,2022-03-15T20:24:05.385868903Z,CONFIRMED_UP,401,1,125000,7,4/5,903900000,-67,-67,9,10072.919740989804
260C96BF,2022-03-15T20:24:15.447742044Z,CONFIRMED_UP,402,1,125000,7,4/5,903900000,-69,-69,10.25,10061.873141005635
260C96BF,2022-03-15T20:24:25.525676761Z,CONFIRMED_UP,403,1,125000,7,4/5,903900000,-69,-69,8.75,10077.93471699953
260C96BF,2022-03-15T20:24:35.593871635Z,CONFIRMED_UP,404,1,125000,7,4/5,903900000,-67,-67,9,10068.19487400353
260C96BF,2022-03-15T20:24:45.657368079Z,CONFIRMED_UP,405,1,125000,7,4/5,903900000,-67,-67,8.5,10063.496444001794
260C96BF,2022-03-15T20:24:55.732844901Z,CONFIRMED_UP,406,1,125000,7,4/5,903900000,-67,-67,8.25,10075.476821988821
260C96BF,2022-03-15T20:25:05.798972084Z,CONFIRMED_UP,407,1,125000,7,4/5,903900000,-69,-69,9.75,10066.127183005214
260C96BF,2022-03-15T20:25:15.861915350Z,CONFIRMED_UP,408,1,125000,7,4/5,903900000,-69,-69,10.25,10062.943266004324
260C96BF,2022-03-15T20:25:25.934138059Z,CONFIRMED_UP,409,1,125000,7,4/5,903900000,-69,-69,9.25,10072.22270900011
260C96BF,2022-03-15T20:25:36.005427053Z,CONFIRMED_UP,410,1,125000,7,4/5,903900000,-69,-69,9.5,10071.288993999362
260C96BF,2022-03-15T20:25:46.074305467Z,CONFIRMED_UP,411,1,125000,7,4/5,903900000,-69,-69,9.25,10068.87841399014
260C96BF,2022-03-15T20:25:56.141085911Z,CONFIRMED_UP,412,1,125000,7,4/5,903900000,-69,-69,10,10066.780444011092
260C96BF,2022-03-15T20:26:06.202633801Z,CONFIRMED_UP,413,1,125000,7,4/5,903900000,-67,-67,9.5,10061.547889992595
260C96BF,2022-03-15T20:26:16.290424439Z,CONFIRMED_UP,414,1,125000,7,4/5,903900000,-69,-69,9.25,10087.790637999773
260C96BF,2022-03-15T20:26:26.347392056Z,CONFIRMED_UP,415,1,125000,7,4/5,903900000,-69,-69,9.5,10056.96761700511
260C96BF,2022-03-15T20:26:36.415245188Z,CONFIRMED_UP,416,1,125000,7,4/5,903900000,-69,-69,8.75,10067.853131994605
260C96BF,2022-03-15T20:26:46.487387564Z,CONFIRMED_UP,417,1,125000,7,4/5,903900000,-67,-67,8,10072.14237600565
260C96BF,2022-03-15T20:26:56.559693351Z,CONFIRMED_UP,418,1,125000,7,4/5,903900000,-69,-69,9.5,10072.30578699708
